Timestamp,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,Bin_28,Bin_29,Bin_30,Bin_31
2025-10-31 15:25:54.617,58,16,34,65,48,33,41,56,83,31,43,41,93,74,87,8,74,14,3,28,21,6,6,70,48,85,7,46,11,62,46,5
2025-10-31 15:25:55.617,61,7,87,16,65,48,62,49,58,33,62,82,87,65,57,90,11,45,33,77,2,5,20,88,80,7,81,43,90,50,62,24
2025-10-31 15:25:56.617,77,40,74,51,47,32,44,90,62,94,38,56,64,79,53,89,63,42,24,47,50,83,64,49,10,83,74,59,41,0,58,7
2025-10-31 15:25:57.618,59,84,69,75,42,73,78,86,34,54,62,64,71,76,33,82,46,25,30,21,39,33,18,3,0,18,87,68,56,54,41,6
2025-10-31 15:25:58.618,1,36,68,85,21,41,45,12,59,24,48,40,85,65,26,68,76,71,59,56,18,4,30,41,77,69,18,62,89,4,0,17
