Timestamp,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,Bin_28,Bin_29,Bin_30,Bin_31
2025-10-24 15:29:16.190,10,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
2025-10-24 15:29:17.149,10,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
2025-10-24 15:29:18.171,10,0,1,3,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
2025-10-24 15:29:19.192,10,1,0,2,0,0,1,1,1,1,0,1,0,0,1,2,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1
2025-10-24 15:29:20.151,10,1,0,3,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1
2025-10-24 15:29:21.172,10,0,0,5,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
2025-10-24 15:29:22.194,10,1,1,4,0,0,1,1,0,1,1,0,1,0,1,2,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1
2025-10-24 15:29:23.173,10,1,1,4,0,1,1,1,1,1,1,0,1,0,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
2025-10-24 15:29:24.195,10,0,1,4,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0
2025-10-24 15:29:25.154,10,1,1,4,0,0,1,1,0,1,1,0,1,1,1,2,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0
2025-10-24 15:29:26.175,11,1,1,4,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
2025-10-24 15:29:27.197,10,1,1,5,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,2,1,2,1,0
2025-10-24 15:29:28.155,10,1,1,5,0,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
2025-10-24 15:29:29.177,10,1,1,6,0,0,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
2025-10-24 15:29:30.199,10,1,1,3,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0
2025-10-24 15:29:31.158,12,1,1,7,1,0,1,1,1,1,2,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0
2025-10-24 15:29:32.180,10,1,1,5,2,2,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
2025-10-24 15:29:33.138,10,1,1,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1
2025-10-24 15:29:34.160,10,0,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
2025-10-24 15:29:35.181,10,0,0,4,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0
2025-10-24 15:29:36.140,10,1,1,2,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0
2025-10-24 15:29:37.162,10,0,0,2,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1
2025-10-24 15:29:38.184,10,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0
2025-10-24 15:29:39.142,10,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
2025-10-24 15:29:40.164,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-10-24 15:29:41.186,10,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
2025-10-24 15:29:42.144,10,1,0,1,0,1,1,1,0,1,0,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1
2025-10-24 15:29:43.166,10,1,1,4,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
2025-10-24 15:29:44.188,10,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
2025-10-24 15:29:45.147,10,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
2025-10-24 15:29:46.168,10,1,1,3,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
2025-10-24 15:29:47.190,10,0,0,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
2025-10-24 15:29:48.149,9,1,0,3,0,0,1,1,1,1,0,1,1,0,1,2,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0
2025-10-24 15:29:49.175,-46,6,3,42,10,8,29,13,8,9,9,5,2,5,3,3,16,7,1,13,5,3,4,8,3,8,7,1,8,3,3,4
2025-10-24 15:29:50.200,10,1,1,2,0,1,1,0,1,1,1,1,0,1,1,2,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1
2025-10-24 15:29:51.159,10,1,2,2,0,0,0,1,0,1,1,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0
2025-10-24 15:29:52.181,12,1,0,4,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
2025-10-24 15:29:53.139,10,0,0,4,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1
2025-10-24 15:29:54.161,10,1,1,5,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1
2025-10-24 15:29:55.182,10,0,1,4,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0
2025-10-24 15:29:56.141,10,1,2,5,2,1,0,1,0,0,1,0,1,0,0,2,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0
2025-10-24 15:29:57.163,10,2,1,2,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0
2025-10-24 15:29:58.189,-52,3,2,45,6,7,29,8,8,7,2,5,8,11,2,8,15,9,3,6,8,1,8,2,3,13,5,2,5,4,5,5
2025-10-24 15:29:59.149,-54,0,8,48,7,7,29,9,2,5,2,7,8,12,7,10,10,2,4,1,5,1,8,2,0,11,1,3,3,5,6,6
2025-10-24 15:30:00.172,-48,4,5,43,9,6,27,10,6,7,2,6,6,7,4,5,5,8,3,5,10,3,14,8,2,10,6,6,5,5,12,13
2025-10-24 15:30:01.195,-43,2,8,41,8,13,31,9,10,12,6,4,3,4,9,5,9,10,6,7,7,4,5,2,2,7,3,7,5,5,7,2
2025-10-24 15:30:02.154,-47,4,6,43,9,9,34,10,6,10,3,0,5,7,5,10,13,7,4,8,2,0,2,3,3,10,5,5,9,3,5,3
2025-10-24 15:30:03.178,-58,8,7,49,0,0,31,11,9,3,11,7,11,2,3,10,12,7,3,8,3,1,3,3,1,11,5,4,8,1,7,2
2025-10-24 15:30:04.200,-46,6,5,41,9,11,34,8,6,12,3,3,5,6,7,9,12,5,5,9,1,1,1,2,1,9,4,6,10,1,4,2
2025-10-24 15:30:05.160,-50,7,2,44,10,10,32,7,7,7,2,3,9,9,2,8,13,7,1,6,7,4,6,2,1,11,2,2,6,4,5,1
2025-10-24 15:30:06.183,-48,3,4,43,8,8,31,10,8,11,3,1,6,8,7,9,14,8,5,8,3,1,2,2,3,8,4,5,8,4,3,1
2025-10-24 15:30:07.142,-54,0,7,47,5,8,28,10,1,5,1,8,9,12,7,10,12,1,3,1,5,2,8,4,1,10,2,3,3,5,6,5
2025-10-24 15:30:08.167,-2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2025-10-24 15:30:09.188,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-10-24 15:30:10.146,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2025-10-24 15:30:11.169,33,1,0,2,1,1,0,1,1,1,0,1,1,1,1,3,2,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1
2025-10-24 15:30:12.191,44,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1
2025-10-24 15:30:13.149,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-24 15:30:14.170,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-24 15:30:15.191,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-10-24 15:30:16.149,30,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
2025-10-24 15:30:17.171,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
