Timestamp,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,Bin_28,Bin_29,Bin_30,Bin_31
2025-11-28 14:03:01.811,86,42,70,53,73,58,8,81,4,75,34,15,90,9,56,36,54,63,12,59,50,62,18,76,12,28,21,15,41,28,17,90
2025-11-28 14:03:02.812,82,45,30,14,86,69,60,78,58,92,66,86,71,71,94,39,67,49,84,22,25,12,3,88,72,4,70,6,13,72,41,38
2025-11-28 14:03:03.812,16,61,60,43,8,47,12,31,15,16,47,35,3,29,2,51,69,47,71,82,51,80,79,0,39,55,16,90,62,11,2,13
2025-11-28 14:03:04.813,17,51,0,12,31,52,93,47,73,42,86,58,50,36,34,75,54,66,43,88,4,42,14,20,36,8,65,38,8,16,68,61
2025-11-28 14:03:05.813,48,43,75,54,39,74,43,52,31,34,83,73,32,56,78,67,44,16,60,71,67,34,49,69,23,78,63,9,22,63,12,1
2025-11-28 14:03:06.813,4,86,86,19,33,78,62,86,51,36,71,57,33,82,61,37,6,40,45,6,71,10,21,51,40,52,44,47,7,16,31,42
2025-11-28 14:03:07.814,16,43,32,17,63,86,38,43,38,21,82,24,4,72,72,54,83,1,40,74,50,51,12,0,74,60,3,4,68,16,87,45
2025-11-28 14:03:08.815,12,36,50,64,2,1,5,18,23,17,74,78,37,43,26,65,70,33,84,4,19,58,48,4,54,80,38,70,80,82,52,42
2025-11-28 14:03:09.816,15,31,20,77,36,65,50,46,63,79,34,92,33,60,86,69,18,89,16,57,71,69,70,23,69,87,37,20,53,81,4,18
2025-11-28 14:03:10.816,44,34,50,20,92,39,47,36,78,31,75,48,93,58,82,69,69,9,43,73,32,23,27,47,3,26,72,82,82,55,90,55
2025-11-28 14:03:11.817,83,46,68,79,84,63,86,73,78,57,36,86,3,89,2,45,55,41,86,38,62,13,28,37,44,90,21,19,75,71,78,89
2025-11-28 14:03:12.818,64,80,70,5,79,61,54,57,83,74,55,87,67,48,84,28,17,54,75,88,19,23,3,69,52,13,15,3,26,26,65,71
2025-11-28 14:03:13.818,89,64,73,44,88,62,39,21,19,73,72,18,55,34,90,60,41,62,33,79,25,18,69,74,77,75,2,53,68,28,18,74
2025-11-28 14:03:14.819,67,45,62,44,26,34,32,43,26,60,8,27,24,27,61,12,52,1,15,61,85,78,70,84,8,78,50,74,89,6,20,10
2025-11-28 14:03:15.820,17,13,18,83,89,3,34,38,67,88,40,33,82,45,25,49,74,82,14,89,23,3,11,45,23,49,22,18,81,4,18,72
2025-11-28 14:03:16.820,54,38,65,11,36,22,38,20,74,77,84,1,77,38,66,70,42,41,88,79,46,32,49,33,12,5,68,79,1,69,84,87
2025-11-28 14:03:17.821,25,33,73,64,62,83,63,72,5,80,18,88,48,8,61,84,55,59,60,54,63,44,67,60,40,51,28,23,77,54,47,3
2025-11-28 14:03:18.821,39,30,62,54,50,63,73,32,70,83,93,31,53,31,65,0,37,57,39,62,45,36,18,5,79,29,20,72,29,36,47,34
2025-11-28 14:03:19.822,49,32,35,84,32,45,65,51,34,18,10,83,9,67,9,56,9,85,64,11,85,52,64,11,83,8,44,8,81,24,30,11
2025-11-28 14:03:20.823,55,19,32,26,15,49,20,48,25,4,53,57,63,1,12,51,26,38,83,65,52,42,39,42,18,90,86,59,28,48,84,6
2025-11-28 14:03:21.823,40,50,35,66,33,28,75,42,84,28,2,27,59,21,76,78,55,36,11,77,81,14,37,13,59,27,47,80,16,60,67,16
2025-11-28 14:03:22.824,9,87,3,18,70,33,50,75,48,69,33,89,75,37,45,23,85,19,84,87,6,52,62,48,86,5,32,34,85,7,65,11
2025-11-28 14:03:23.825,55,66,10,53,40,7,68,10,74,51,39,78,18,83,4,45,66,59,11,81,83,36,57,90,11,72,53,16,32,46,9,16
2025-11-28 14:03:24.825,86,0,35,45,66,38,79,78,2,65,36,21,68,47,4,49,87,25,9,44,67,75,8,8,22,86,86,29,50,22,37,20
2025-11-28 14:03:25.826,77,42,46,43,55,70,45,72,78,62,57,87,65,37,63,15,49,8,65,51,48,10,72,67,34,44,68,64,57,24,24,48
